Table,RowCount,ExportDate
backup_stock_master,88,2026-06-28T08:53:26.088Z
backup_stock_office,88,2026-06-28T08:53:26.089Z
backup_stock_site,88,2026-06-28T08:53:26.089Z
backup_transfer_log,88,2026-06-28T08:53:26.090Z
backup_asset_list,88,2026-06-28T08:53:26.092Z
backup_asset_history,88,2026-06-28T08:53:26.093Z
backup_part_catalog,88,2026-06-28T08:53:26.094Z
backup_farm_sites,88,2026-06-28T08:53:26.094Z
backup_farm_houses,88,2026-06-28T08:53:26.095Z
backup_users,88,2026-06-28T08:53:26.096Z
backup_audit_log,88,2026-06-28T08:53:26.096Z
